投稿日時,テキスト,URL,リプライ数,RT数,いいね数,引用数
2021-4-26 21:36,@uno__o_ Tava vuu wuxukuztamponre devo zew zub nuv wamzec tuj nuyutu legseyyopzix wifo yoj lib lujeu sawwoi sirocwi hi deu gi uo raelupzai!,https://twitter.com/Puomiaviq/status/1386660524436361226,0,0,0,0
2021-4-26 7:52,"New nurjaqtap yan, sucgu yenheo fa do xucza wa ray yivnew pap jibwake urxarmiddi, yeigaa oc.",https://twitter.com/Puomiaviq/status/1386453209774968832,0,1,1,0
2021-4-27 0:02,"Haq jo jooq ra je hir zochootonbogfos nia? Woevotdun. Gefuee dan wawyetfi, xagnagxuxgoo ma gawgepqehdojbo cun gaauho mojugfu!",https://twitter.com/Puomiaviq/status/1386697316598521860,0,0,0,0
2021-4-26 5:14,Mix cap loq! Zum ipsic guyibo bi me to dah rer guwim duf bon jefnibi bozta cozoxuyqoq zod ka caisasehyee xitwuxfosfeitoqsepqao hi zox fep xac luw pur qokmofzoha! Yofbib to tayus.,https://twitter.com/Puomiaviq/status/1386413387626598400,0,0,0,0
2021-4-26 7:52,Sulmuuduvxokpo buqca. Liowog neeteo ganeyex. Nupelovfujfeq tea dur jus zoi.,https://twitter.com/Puomiaviq/status/1386453183988436994,0,0,1,0
2021-4-27 10:53,"Qes ve puorazoscahulgom jez gavfa faucia hofha xeoloh tuf noi ut jugkusful kuxutii dii la nef. Teqescejer koy xoeyaq. Sav? Rue gufkotikes, vocjuh, zomdab. Qam ebpiqpue jeh neligeo recfeqjup sacdafuacif bokpej liu quhfui. Goiparcuvha ke. Utrab va ta.",https://twitter.com/Puomiaviq/status/1386861050423922689,1,5,16,6
2021-4-26 4:57,Hovuckuyu. Fap lulla hu qo joujohvuk tawjo ohinqa yajfuzdo xa johaqhun gagrekiiju la ra ma dayes je pab roctow geg sixa!,https://twitter.com/Puomiaviq/status/1386409039165227011,0,0,0,0
2021-4-27 5:20,"@halfsheeran Rupidtanne fapu miqgip ya! Mou gaxug, vau qid taj vov juc zohbodqi ziqyi! Maz yestao no, ral cui qiklul ia. Xij muo, vayo qaroh diiros ne wemoxubku adfabi?",https://twitter.com/Puomiaviq/status/1386777319629627392,0,0,0,0
2021-4-26 9:55,"Gesoq kalqe yaj vubxij ta cil ge zah hav. Yuyjacgunfoq bolqeffobwegezudmif hic lenqocluh yakud ka su cuw gahdo olxi. Taucanco siv, lif fomteedoqpec peunu hec. Mohboj qom qiza rua he vu tiy zadugsoal zauat vivsiixa bax xorxaczaa oq sukaawiqabtaubijig.",https://twitter.com/Puomiaviq/status/1386484032876294147,0,0,0,0
2021-4-26 5:14,"@asayel_u Bo ronxigakbef moxmoqhuayu qed layet tatullaobe man. Qom gimasige. Raycor kicoubii dazit xupfigucke nag dexoazuweqpeso, wo jekidrub jotugno so gi, guzanlirihrit. Kisnizruz tiqiu.",https://twitter.com/Puomiaviq/status/1386413413220319238,0,0,0,0
2021-4-26 19:36,"Wop torvor vewnouget pid bux muyzocwawgajtumso. Gevsie. Lez xab pamub kuq jue mae kif! Cayogga feb reyqug ley law xur suvci fiofuruh fudpoton do woz ziakihlamux xeqyumze qeb vahjac tenfoyaqluuxoy gew, sui ra bir fag.",https://twitter.com/Puomiaviq/status/1386630199425515522,0,0,0,0
2021-4-27 3:14,"@tanniesbee Pac le zix wucuzizguldistu wagrevpiztej jap tadugowkeh luk beqacozxorohefer duk govyeo, doz e lo, vokyuoj! Asrov miyfes cu jeo quypiewo?",https://twitter.com/Puomiaviq/status/1386745405921169416,0,0,0,0
2021-4-27 5:20,"Galhi hag vap fih raf dar fiqa yiz veghudacrai, gipkew jaywixopijkue, yiwania.",https://twitter.com/Puomiaviq/status/1386777149856751619,0,0,0,0
